id,q_content
c1,How old is the girl in the photo?
c2,Does the girl visit the flower often?
c3,Where do these men live?
c4,What are they going to do with the bird now?
c5,Is this a father with his son?
c6,Where are they going?
c7,Whose computer is this?
c8,Why are they not using a TV?
c9,Who is the man on the phone with?
c10,Does the man speak a language besides english on the phone?
c11,What is the blonde child thinking?
c12,How do you think these two children know each other?
c13,Is this guy going to land his trick or fall on his face?
c14,Is he going to do a kickflip off the rail?
c15,ARE WOMEN BETTER TENNIS PLAYERS THAN MEN?
c16,IS BLUE HER TEAM COLOR OR LUCKY COLOR?
c17,Does she think the orange baskets are cool?
c18,Is she going to send this to a friend who like swanky bathrooms?
c19,"How many times do you think the baby has seen a horse before, if at all?"
c20,Do you think the woman owns the horse?
c21,How was this picture generated?
c22,Was this made for a specific purpose?
c23,What city is this?
c24,What year was this taken?
c27,DID SHE MAKE THIS HIT?
c28,WILL SHE WIN THE MATCH?
c29,Are they husband and wife?
c30,Is he happy to be there?
c31,I wonder who she is talking to on the phone?
c32,Is this a clandestine call since the location is blurred in the background?
c33,Why is the guy so creepy?
c34,"Did they all play frisbee recently, or are they going to play?"
c37,Is the umbrella real?
c38,Is she scared?
c39,DOES SHE LIKE TO READ?
c40,IS BLUE HER FAVORITE COLOR?
c41,What are these two men fixing?
c42,Where is the woman with the suitcase going?
c43,What is the dogs name?
c44,Where are the dog and child going?
c45,How much mountain dew did they drink?
c46,How many bags of cheetos did they eat?
c47,Did they push the snow up to the ramp or is it just submerged naturally?
c48,Is he jumping over or doing a halfpipe trick?
c51,HOW TALL DO YOU THINK SHE IS?
c52,HOW HOT IS IT OUTSIDE?
c53,WHAT ARE THEY WATCHING?
c54,WHAT IS THE CATS NAME?
c55,How good at skateboarding is this child?
c56,How long have they had a skateboard?
c57,How many people are on that plane?
c58,Where was this photo taken from?
c59,Is that a pistol strap around his shoulder?
c60,Are you in danger?
c63,Is that woman in charge of the child in the picture?
c64,Are they looking at something other that the ribbons she is playing with?
c65,How does this person feel right now?
c66,What is the banana being used as?
c69,What even is that thing the person has?
c70,What is this persons name
c71,What kind of kite do you think the girl is flying?
c72,How much longer will the weather be clear?
c73,Do these men like each other?
c74,"Who has more authority, the man on the right, or the man on the left?"
c75,Did the man in the yellow shirt throw the frisbee?
c76,What time of year is it in the picture?
c77,How often do sharks attack surfers?
c78,What is the best month for surfing?
c79,What subject do you think is being taught?
c80,Is the student in the foreground paying attention?
c81,How long is the average elephants lifespan?
c82,How many species of bird live in Africa?
c83,"Is this the home of the man on the right, or the man on the left?"
c84,What type of event do you think these men are planning for?
c85,What is the most popular pizza chain?
c86,Are boy scouts good students?
c87,How many calories does each donut have?
c88,Is that a decaf coffee?
c89,How long is the average span of a pitchers career?
c90,What type of grass do baseball fields use?
c91,What ocean or lake is this beach located at?
c92,Is this a public or private beach?
c93,"I wonder if the children are playing the same game on their laptops, together, or if they're each playing different games/engaging in different computer activities."
c94,I wonder why the children choose to lie on the floor since there also appear to be two chairs in the room with them.
c95,What are the risks of being in a park barefoot?
c96,How often do people play with frisbees in 2022?
c97,I wonder if this person is an experienced surfer or more of a novice.
c98,"I wonder if the surfer is very far away from the shore or if they're some substantial distance away from it, and I wonder if they choose one or the other relative location for any specific reasons (like being afraid of deep water, e.g.)."
c99,Why do they have a horse there when they can just drive their cars?
c100,Are they setting up for a race?
c101,I wonder how many people are going to eat this pizza.
c102,"Is this a vegetarian or vegan pizza, and if so, what kind of ingredients and/or substitutions have been included?"
c103,What is the name of this skateboarder?
c104,Are they skateboarding on a big ramp?
c105,Who won this tennis match?
c106,"Are these players really friends/friendly, or are they just acting friendly because of this particular, presumably kid of mandatory, post-game situation?"
c107,Are they at a house party or a social gathering?
c108,Who is the man in this picture?
